-1,10.88042222,11.66301214
-0.98,7.329582585,6.550925273
-0.96,3.486535624,0.940721298
-0.94,-0.495508509,-1.314143988
-0.92,-4.457798282,-5.479322961
-0.9,-8.242369705,-5.971573809
-0.88,-11.69834386,-12.18530665
-0.86,-14.68794196,-15.90956053
-0.84,-17.09197816,-17.30896898
-0.82,-18.81461113,-16.07820093
-0.8,-19.78716493,-19.07959299
-0.78,-19.97086691,-18.20276123
-0.76,-19.35839344,-19.11208147
-0.74,-17.97416192,-17.74928534
-0.72,-15.87335728,-15.64738609
-0.7,-13.13973197,-14.56183989
-0.68,-9.882267023,-7.920575261
-0.66,-6.23082727,-4.162492699
-0.64,-2.330984097,-4.419249652
-0.62,1.661788056,4.370228674
-0.6,5.588309964,2.974296157
-0.58,9.292043588,9.384536663
-0.56,12.62533276,9.688229604
-0.54,15.45528975,14.29470714
-0.52,17.66909311,20.26998636
-0.5,19.17848549,17.18577276
-0.48,19.92329218,19.82098349
-0.46,19.87382007,21.86131625
-0.44,19.03204148,19.29993434
-0.42,17.43151545,18.00068027
-0.4,15.13604991,16.94242086
-0.38,12.23715782,14.47909555
-0.36,8.850408866,7.992977154
-0.34,5.110822041,6.086179648
-0.32,1.167482869,-0.524849987
-0.3,-2.822400161,-0.09835017
-0.28,-6.699763003,-9.116414813
-0.26,-10.31002744,-10.21220203
-0.24,-13.50926361,-15.62488951
-0.22,-16.16992808,-18.94809575
-0.2,-18.18594854,-15.61722017
-0.18,-19.47695262,-21.05165288
-0.16,-19.99147206,-22.78842974
-0.14,-19.7089946,-18.61468502
-0.12,-18.64078172,-17.27052172
-0.1,-16.8294197,-16.60612783
-0.08,-14.34712182,-12.52750149
-0.06,-11.29284947,-8.9967248
-0.04,-7.788366846,-8.326198068
-0.02,-3.973386616,-5.076575695
0,0,2.74941261
0.02,3.973386616,1.515515118
0.04,7.788366846,5.368700936
0.06,11.29284947,11.84440647
0.08,14.34712182,15.82787124
0.1,16.8294197,15.85173891
0.12,18.64078172,19.12404346
0.14,19.7089946,17.47472986
0.16,19.99147206,22.34295375
0.18,19.47695262,17.03496938
0.2,18.18594854,18.92348683
0.22,16.16992808,17.49704658
0.24,13.50926361,10.7040258
0.26,10.31002744,12.53786418
0.28,6.699763003,6.695917779
0.3,2.822400161,0.765524097
0.32,-1.167482869,0.380110205
0.34,-5.110822041,-5.528201843
0.36,-8.850408866,-7.827721176
0.38,-12.23715782,-12.8717504
0.4,-15.13604991,-12.35504981
0.42,-17.43151545,-15.34617805
0.44,-19.03204148,-21.37623771
0.46,-19.87382007,-21.10931573
0.48,-19.92329218,-18.53588658
0.5,-19.17848549,-18.81091399
0.52,-17.66909311,-15.95703183
0.54,-15.45528975,-15.72036452
0.56,-12.62533276,-15.51537916
0.58,-9.292043588,-6.960431767
0.6,-5.588309964,-3.962861724
0.62,-1.661788056,1.210954248
0.64,2.330984097,2.131378187
0.66,6.23082727,3.92463107
0.68,9.882267023,11.31788485
0.7,13.13973197,10.65577973
0.72,15.87335728,16.95328975
0.74,17.97416192,17.29073216
0.76,19.35839344,20.19082224
0.78,19.97086691,17.54620108
0.8,19.78716493,22.70900042
0.82,18.81461113,18.50916402
0.84,17.09197816,18.90808158
0.86,14.68794196,12.45753923
0.88,11.69834386,14.23072918
0.9,8.242369705,10.23068593
0.92,4.457798282,2.118322028
0.94,0.495508509,-0.441100305
0.96,-3.486535624,-5.237729025
0.98,-7.329582585,-6.137489992
1,-10.88042222,-10.2026093
